SampleName,Group,Group2,Thr13C,Val13C,Leu13C,Phe13C,Lys13C
"Kona, Reef, 7-8PM, 0.2-0.5 mm",HawaiiReefPlankton,4,-8.4,-17.48,-24.2,-21.29,-16.04
"Kona, Reef, 7-8PM, 1-2 mm",HawaiiReefPlankton,4,-13.44,-21.35,-25.01,-24.51,-18.3
"Kona, Reef, 12-1 AM, 1-2 mm",HawaiiReefPlankton,5,-12.98,-19.01,-24.13,-23.71,-21.94
"Kona, A, Day, 0-150, 1-2mm",HawaiiReefPlankton,5,-15.14,-20.44,-26.19,-25.62,-22.21
"Kona, C, Day, 0-150, 1-2mm",HawaiiOffshorePlankton,5,-15.55,-22.82,-26.84,-27.1,-25.64
EB1,HawaiiReefPlankton,5,-12.88,-19.77,-26.86,-25.08,-18.91
EB2,HawaiiReefPlankton,5,-15.52,-21.48,-27.22,-25.64,-17.46
3T2,HawaiiReefPlankton,6,-12.3,-21.87,-23.59,-22.54,-17.42
3T1,HawaiiReefPlankton,6,-10.23,-23.2,-23.12,-20.74,-16.19
MP3,HawaiiReefPlankton,6,-14.12,-21.57,-23.04,-20.33,-16.68
"Makaha Offshore 1, >0.2, Night",HawaiiOffshorePlankton,6,-14.85,-22.94,-25.38,-24.39,-19.29
"Nanakuli Reef 1, >0.2, Night",HawaiiReefPlankton,6,-19.26,-24.22,-25.6,-24.37,-17.41
KNS 1-1,HawaiiReefPlankton,6,-12.37,-22.02,-23.13,-22.95,-17.85
KNS 1-2,HawaiiReefPlankton,6,-14.71,-21.45,-25.98,-23.7,-18.45
KOS 3-1,HawaiiOffshorePlankton,6,-13.7,-23.21,-26.3,-24.86,-17.94
KOS 3-2,HawaiiOffshorePlankton,7,-13.68,-22.95,-25.56,-25.3,-17.81
KOS 4-1,HawaiiOffshorePlankton,7,-13.73,-21.71,-25.59,-26.16,-17.07
KOS 4-2,HawaiiOffshorePlankton,7,-15,-23.35,-27.24,-23.3,-16.92
KOS 5-1,HawaiiOffshorePlankton,,-15.28,-24.2,-26.39,-23.27,-17.46
KOS 5-2,HawaiiOffshorePlankton,,-13.57,-23.18,-26.19,-25.26,-15.82
ALOHA_50_100_0.2_Day,HawaiiOffshorePlankton,,-12.4,-22.8,-25.4,-25.5,-16.2
ALOHA_50_100_0.5_Day,HawaiiOffshorePlankton,,-11.4,-23.5,-25.4,-27.1,-17.1
ALOHA_50_100_2.0_Day,HawaiiOffshorePlankton,,-10.7,-22.5,-24.7,-25.1,-15.4
ALOHA_50_100_0.5_Night,HawaiiOffshorePlankton,,-14,-24.2,-25.5,-24.6,-17.9
ALOHA_300_500_0.5_Day,HawaiiOffshoreDeepPlankton,,-13.2,-24.7,-26.4,-28.3,-18.7
ALOHA_700_1000_0.5_Day,HawaiiOffshoreDeepPlankton,,-10.6,-23.2,-24.8,-26.3,-17.7
ALOHA_300_500_0.5_Night,HawaiiOffshoreDeepPlankton,,-14.1,-24.4,-26.1,-26.7,-18.4
ALOHA_700_1000_0.5_Night,HawaiiOffshoreDeepPlankton,,-11.3,-24.4,-25.3,-25.1,-17.5
